,r,S1,S2,S3,S1_int,S2_int,S3_int
65,1.5,0.5303034050326522,0.5374304625742786,0.4799595948594851,8355.838429012405,8251.603236053097,8384.001357539999
66,1.6,0.48565621202454673,0.4931254773612742,0.43585581168896054,8355.838429012405,8251.603236053097,8384.001357539999
67,1.7,0.44193996948358844,0.44975397736398026,0.39349993986814824,8355.838429012405,8251.603236053097,8384.001357539999
68,1.8,0.39956422555089705,0.4077111872812054,0.35325136204736574,8355.838429012405,8251.603236053097,8384.001357539999
69,1.9,0.3589193422100981,0.3673653729917169,0.3154400141775042,8355.838429012405,8251.603236053097,8384.001357539999
70,2.0,0.32037489747628495,0.3290577608997421,0.28036622794095944,8355.838429012405,8251.603236053097,8384.001357539999
71,2.1,0.2842613783859193,0.2930857574795408,0.24827918825481526,8355.838429012405,8251.603236053097,8384.001357539999
72,2.2,0.2507684881308929,0.25960427646642864,0.21925145959461334,8355.838429012405,8251.603236053097,8384.001357539999
73,2.3,0.2199604352388899,0.22864764254276151,0.19320488110097042,8355.838429012405,8251.603236053097,8384.001357539999
74,2.4,0.19183395422588273,0.2001912882934978,0.16998854722125661,8355.838429012405,8251.603236053097,8384.001357539999
75,2.5,0.16634127832360493,0.17417554274250618,0.1494103550940228,8355.838429012405,8251.603236053097,8384.001357539999
76,2.6,0.14340338811395276,0.15051853773012905,0.13125539806037467,8355.838429012405,8251.603236053097,8384.001357539999
77,2.7,0.12291893059289753,0.1291242539117528,0.1152981250064836,8355.838429012405,8251.603236053097,8384.001357539999
78,2.8,0.10477065459402753,0.10988790757339499,0.10131083920858917,8355.838429012405,8251.603236053097,8384.001357539999
79,2.9,0.0888302184324125,0.09269967484808768,0.08906968656741182,8355.838429012405,8251.603236053097,8384.001357539999
80,3.0,0.07496189470054772,0.07744736245888827,0.0783587649262561,8355.838429012405,8251.603236053097,8384.001357539999
81,3.1,0.0630235975942312,0.06401699240284763,0.06897581253057031,8355.838429012405,8251.603236053097,8384.001357539999
82,3.2,0.05285853112503267,0.05228588920386587,0.06075097230259704,8355.838429012405,8251.603236053097,8384.001357539999
83,3.3,0.0442989202340757,0.04212321078781673,0.053542398620513756,8355.838429012405,8251.603236053097,8384.001357539999
84,3.4,0.037174091262296094,0.033394759067942335,0.047224778901587036,8355.838429012405,8251.603236053097,8384.001357539999
85,3.5,0.031314456369634654,0.025965714957007432,0.04168469117582579,8355.838429012405,8251.603236053097,8384.001357539999
86,3.6,0.02655416217924148,0.019702614159493072,0.036817900354948606,8355.838429012405,8251.603236053097,8384.001357539999
87,3.7,0.02273280228667403,0.014474792394014816,0.03252758014431856,8355.838429012405,8251.603236053097,8384.001357539999
88,3.8,0.019696624220589706,0.01015550967043562,0.028723172595502177,8355.838429012405,8251.603236053097,8384.001357539999
89,3.9,0.017299136352819433,0.006622644626406562,0.02531968399948742,8355.838429012405,8251.603236053097,8384.001357539999
90,4.0,0.015401462252895367,0.0037592772607600486,0.022237278254675998,8355.838429012405,8251.603236053097,8384.001357539999
91,4.1,0.013875488508683663,0.0014561486653777414,0.019403430301476326,8355.838429012405,8251.603236053097,8384.001357539999
92,4.2,0.012622168240781427,-0.00037544644344840764,0.016766865732973806,8355.838429012405,8251.603236053097,8384.001357539999
93,4.3,0.011569164134999317,-0.00180556604088666,0.014295367056106427,8355.838429012405,8251.603236053097,8384.001357539999
94,4.4,0.010660247120685936,-0.002893014605110182,0.011967498085889528,8355.838429012405,8251.603236053097,8384.001357539999
95,4.5,0.009850920829611965,-0.00368843496055505,0.009769114261748844,8355.838429012405,8251.603236053097,8384.001357539999
96,4.6,0.009105731253714007,-0.004236097052324404,0.007691214615277301,8355.838429012405,8251.603236053097,8384.001357539999
97,4.7,0.008396650514781168,-0.004575095803024627,0.005728411312866384,8355.838429012405,8251.603236053097,8384.001357539999
98,4.8,0.007701958464276764,-0.004740197818440769,0.0038777574334015294,8355.838429012405,8251.603236053097,8384.001357539999
99,4.9,0.007005462531037057,-0.004762494949615454,0.002137828697358006,8355.838429012405,8251.603236053097,8384.001357539999
100,5.0,0.0062959076573893494,-0.004669908047544111,0.0005079879569511765,8355.838429012405,8251.603236053097,8384.001357539999
